name,display_name,lat,lon,height_m
Bidein a' Ghlas Thuill (An Teallach),Bidein a' Ghlas Thuill (An Teallach),57.80712,-5.25178,1062
Binnein Beag,Binnein Beag,56.76697,-4.91117,943
Binnein Mor,Binnein Mor,56.75439,-4.9258,1130
Blabheinn [Bla Bheinn],Blabheinn [Bla Bheinn],57.21959,-6.09323,929
Braeriach,Braeriach,57.07832,-3.72837,1296
Braigh Coire Chruinn-bhalgain (Beinn a' Ghlo),Braigh Coire Chruinn-bhalgain (Beinn a' Ghlo),56.8311,-3.7295,1070
Broad Cairn,Broad Cairn,56.91916,-3.24907,998
Bruach na Frithe,Bruach na Frithe,57.24677,-6.21079,959
Bynack More,Bynack More,57.13823,-3.58472,1090
Cac Carn Beag (Lochnagar),Cac Carn Beag (Lochnagar),56.96029,-3.24525,1156
Cairn Bannoch,Cairn Bannoch,56.92774,-3.27841,1012
Cairn Gorm,Cairn Gorm,57.11672,-3.64448,1245
Cairn Toul,Cairn Toul,57.05442,-3.71077,1291
Cairn of Claise,Cairn of Claise,56.89419,-3.33864,1064
Carn Aosda,Carn Aosda,56.89571,-3.42328,915
Carn Bhac,Carn Bhac,56.93055,-3.56088,945
Carn Dearg,"Carn Dearg (Monadhliath, 946 m)",57.09228,-4.25325,946
Carn Dearg,"Carn Dearg (Ben Alder area, 1034 m)",56.85526,-4.45471,1034
Carn Dearg,"Carn Dearg (Corrour, 941 m)",56.75995,-4.5899,941
Carn Eighe,Carn Eighe,57.28772,-5.11517,1183
Carn Ghluasaid,Carn Ghluasaid,57.16597,-5.06817,957
Carn Gorm,Carn Gorm,56.62255,-4.22602,1029
Carn Liath,Carn Liath,56.9788,-4.51529,1006
Carn Liath (Beinn a' Ghlo),Carn Liath (Beinn a' Ghlo),56.80778,-3.74409,976
Carn Mairg,Carn Mairg,56.63464,-4.14561,1042
Carn Mor Dearg,Carn Mor Dearg,56.80526,-4.98664,1220
Carn Sgulain,Carn Sgulain,57.12439,-4.17699,920
Carn a' Chlamain,Carn a' Chlamain,56.86098,-3.77963,964
